Date,Campaign,Channel,Age_Group,Gender,Location,Customer_Type,Impressions,Clicks,Leads,Conversions,Marketing_Spend,Revenue,CTR,Lead_Rate,Conversion_Rate,CPC,CPA,ROAS,ROI,Month,Month_Number
2026-01-01 00:00:00.000000,Diwali Campaign,Google Ads,25-34,Male,Mumbai,New,149787,9356,1594,291,26135,458713.2,6.25,17.04,3.11,2.79,89.81,17.55,1655.17,January,1
2026-01-01 01:44:51.178235,Festival Campaign,Email,55+,Other,Mumbai,New,111354,5221,526,140,5964,222884.99,4.69,10.07,2.68,1.14,42.6,37.37,3637.17,January,1
2026-01-01 03:29:42.356471,Product Launch,YouTube,55+,Male,Nagpur,New,24783,1875,183,49,28464,70970.03,7.57,9.76,2.61,15.18,580.9,2.49,149.33,January,1
2026-01-01 05:14:33.534706,Diwali Campaign,Google Ads,55+,Male,Kolkata,Returning,99012,3319,945,149,16578,85238.55,3.35,28.47,4.49,4.99,111.26,5.14,414.17,January,1
2026-01-01 06:59:24.712942,New Year Offer,Instagram,18-24,Other,Jaipur,New,77933,1326,326,53,49385,131212.54,1.7,24.59,4.0,37.24,931.79,2.66,165.69,January,1
2026-01-01 08:44:15.891178,Monsoon Offer,Email,55+,Other,Delhi,Returning,50680,2078,567,108,27406,177332.0,4.1,27.29,5.2,13.19,253.76,6.47,547.06,January,1
2026-01-01 10:29:07.069413,Product Launch,YouTube,45-54,Male,Ahmedabad,Returning,133207,4919,1303,116,40893,212009.04,3.69,26.49,2.36,8.31,352.53,5.18,418.45,January,1
2026-01-01 12:13:58.247649,Product Launch,Instagram,45-54,Male,Jaipur,New,69179,4897,569,170,4133,193666.17,7.08,11.62,3.47,0.84,24.31,46.86,4585.85,January,1
2026-01-01 13:58:49.425885,Diwali Campaign,Instagram,35-44,Male,Delhi,New,109613,6535,790,125,40006,307537.03,5.96,12.09,1.91,6.12,320.05,7.69,668.73,January,1
2026-01-01 15:43:40.604120,Winter Sale,Instagram,55+,Male,Delhi,Returning,49970,1121,166,30,8786,74531.14,2.24,14.81,2.68,7.84,292.87,8.48,748.29,January,1
2026-01-01 17:28:31.782356,New Year Offer,Instagram,55+,Female,Mumbai,Returning,14718,1350,253,62,31878,116702.73,9.17,18.74,4.59,23.61,514.16,3.66,266.09,January,1
2026-01-01 19:13:22.960592,Diwali Campaign,Google Ads,25-34,Male,Pune,Returning,85769,5437,1813,263,44125,726292.86,6.34,33.35,4.84,8.12,167.78,16.46,1545.99,January,1
2026-01-01 20:58:14.138827,New Year Offer,Google Ads,18-24,Female,Kolkata,New,89707,4592,1202,149,17595,117666.88,5.12,26.18,3.24,3.83,118.09,6.69,568.75,January,1
2026-01-01 22:43:05.317063,New Year Offer,Google Ads,35-44,Other,Delhi,Returning,102304,9652,1437,155,25477,382317.83,9.43,14.89,1.61,2.64,164.37,15.01,1400.64,January,1
2026-01-02 00:27:56.495299,Monsoon Offer,YouTube,55+,Female,Kolkata,Returning,27139,509,48,9,14948,17068.14,1.88,9.43,1.77,29.37,1660.89,1.14,14.18,January,1
2026-01-02 02:12:47.673534,Product Launch,YouTube,25-34,Other,Hyderabad,Returning,129804,10522,2785,226,48468,243522.44,8.11,26.47,2.15,4.61,214.46,5.02,402.44,January,1
2026-01-02 03:57:38.851770,Festival Campaign,YouTube,18-24,Female,Nagpur,New,54782,2345,583,137,14403,113814.05,4.28,24.86,5.84,6.14,105.13,7.9,690.21,January,1
2026-01-02 05:42:30.030006,Monsoon Offer,Facebook,35-44,Other,Ahmedabad,Returning,29958,2174,570,103,45935,129009.31,7.26,26.22,4.74,21.13,445.97,2.81,180.85,January,1
2026-01-02 07:27:21.208241,Monsoon Offer,YouTube,35-44,Male,Hyderabad,Returning,113026,10597,1595,314,42079,829208.0,9.38,15.05,2.96,3.97,134.01,19.71,1870.6,January,1
2026-01-02 09:12:12.386477,New Year Offer,Google Ads,55+,Female,Delhi,Returning,79134,4478,983,135,38923,333321.53,5.66,21.95,3.01,8.69,288.32,8.56,756.36,January,1
2026-01-02 10:57:03.564712,Clearance Sale,Google Ads,35-44,Female,Jaipur,Returning,23583,283,50,5,19804,10564.16,1.2,17.67,1.77,69.98,3960.8,0.53,-46.66,January,1
2026-01-02 12:41:54.742948,Product Launch,Facebook,25-34,Other,Kolkata,Returning,27013,340,102,23,12921,16693.8,1.26,30.0,6.76,38.0,561.78,1.29,29.2,January,1
2026-01-02 14:26:45.921184,Winter Sale,Facebook,35-44,Other,Hyderabad,New,57984,2304,227,28,38603,80838.14,3.97,9.85,1.22,16.75,1378.68,2.09,109.41,January,1
2026-01-02 16:11:37.099419,Monsoon Offer,YouTube,45-54,Female,Kolkata,New,131246,10545,1627,409,5085,516812.54,8.03,15.43,3.88,0.48,12.43,101.63,10063.47,January,1
