Date,Campaign,Channel,Age_Group,Gender,Location,Customer_Type,Impressions,Clicks,Leads,Conversions,Marketing_Spend,Revenue
2026-01-01 00:00:00.000000,Diwali Campaign,Google Ads,25-34,Male,Mumbai,New,149787,9356,1594,291,26135,458713.2
2026-01-01 01:44:51.178235,Festival Campaign,Email,55+,Other,Mumbai,New,111354,5221,526,140,5964,222884.99
2026-01-01 03:29:42.356471,Product Launch,YouTube,55+,Male,Nagpur,New,24783,1875,183,49,28464,70970.03
2026-01-01 05:14:33.534706,Diwali Campaign,Google Ads,55+,Male,Kolkata,Returning,99012,3319,945,149,16578,85238.55
2026-01-01 06:59:24.712942,New Year Offer,Instagram,18-24,Other,Jaipur,New,77933,1326,326,53,49385,131212.54
2026-01-01 08:44:15.891178,Monsoon Offer,Email,55+,Other,Delhi,Returning,50680,2078,567,108,27406,177332.0
2026-01-01 10:29:07.069413,Product Launch,YouTube,45-54,Male,Ahmedabad,Returning,133207,4919,1303,116,40893,212009.04
2026-01-01 12:13:58.247649,Product Launch,Instagram,45-54,Male,Jaipur,New,69179,4897,569,170,4133,193666.17
2026-01-01 13:58:49.425885,Diwali Campaign,Instagram,35-44,Male,Delhi,New,109613,6535,790,125,40006,307537.03
2026-01-01 15:43:40.604120,Winter Sale,Instagram,55+,Male,Delhi,Returning,49970,1121,166,30,8786,74531.14
2026-01-01 17:28:31.782356,New Year Offer,Instagram,55+,Female,Mumbai,Returning,14718,1350,253,62,31878,116702.73
2026-01-01 19:13:22.960592,Diwali Campaign,Google Ads,25-34,Male,Pune,Returning,85769,5437,1813,263,44125,726292.86
2026-01-01 20:58:14.138827,New Year Offer,Google Ads,18-24,Female,Kolkata,New,89707,4592,1202,149,17595,117666.88
2026-01-01 22:43:05.317063,New Year Offer,Google Ads,35-44,Other,Delhi,Returning,102304,9652,1437,155,25477,382317.83
2026-01-02 00:27:56.495299,Monsoon Offer,YouTube,55+,Female,Kolkata,Returning,27139,509,48,9,14948,17068.14
2026-01-02 02:12:47.673534,Product Launch,YouTube,25-34,Other,Hyderabad,Returning,129804,10522,2785,226,48468,243522.44
2026-01-02 03:57:38.851770,Festival Campaign,YouTube,18-24,Female,Nagpur,New,54782,2345,583,137,14403,113814.05
2026-01-02 05:42:30.030006,Monsoon Offer,Facebook,35-44,Other,Ahmedabad,Returning,29958,2174,570,103,45935,129009.31
2026-01-02 07:27:21.208241,Monsoon Offer,YouTube,35-44,Male,Hyderabad,Returning,113026,10597,1595,314,42079,829208.0
2026-01-02 09:12:12.386477,New Year Offer,Google Ads,55+,Female,Delhi,Returning,79134,4478,983,135,38923,333321.53
2026-01-02 10:57:03.564712,Clearance Sale,Google Ads,35-44,Female,Jaipur,Returning,23583,283,50,5,19804,10564.16
2026-01-02 12:41:54.742948,Product Launch,Facebook,25-34,Other,Kolkata,Returning,27013,340,102,23,12921,16693.8
2026-01-02 14:26:45.921184,Winter Sale,Facebook,35-44,Other,Hyderabad,New,57984,2304,227,28,38603,80838.14
2026-01-02 16:11:37.099419,Monsoon Offer,YouTube,45-54,Female,Kolkata,New,131246,10545,1627,409,5085,516812.54
2026-01-02 17:56:28.277655,Festival Campaign,Email,25-34,Other,Nagpur,Returning,139110,5000,1213,151,42837,304642.49
2026-01-02 19:41:19.455891,Clearance Sale,Facebook,18-24,Male,Jaipur,Returning,19096,765,103,22,26854,55170.6
2026-01-02 21:26:10.634126,Clearance Sale,Instagram,18-24,Female,Hyderabad,Returning,83533,6732,1761,390,38153,324534.44
2026-01-02 23:11:01.812362,Winter Sale,Google Ads,55+,Male,Kolkata,Returning,124795,2552,298,56,29353,119307.54
2026-01-03 00:55:52.990598,Monsoon Offer,Instagram,55+,Female,Jaipur,Returning,35618,3070,264,79,21761,45878.46
2026-01-03 02:40:44.168833,Festival Campaign,Google Ads,45-54,Male,Mumbai,Returning,19868,673,210,34,31870,25652.09
2026-01-03 04:25:35.347069,Product Launch,Google Ads,18-24,Female,Bangalore,New,31882,465,79,21,15292,48465.04
2026-01-03 06:10:26.525305,Summer Sale,Facebook,18-24,Other,Mumbai,Returning,116760,2400,293,34,4455,30181.98
2026-01-03 07:55:17.703540,Festival Campaign,Facebook,18-24,Female,Ahmedabad,Returning,112125,10733,1359,209,16682,336232.26
2026-01-03 09:40:08.881776,Winter Sale,Instagram,18-24,Male,Delhi,New,135677,6867,2191,245,16182,274603.69
2026-01-03 11:25:00.060012,Clearance Sale,Google Ads,35-44,Female,Pune,New,119982,3968,1018,216,4890,335463.93
2026-01-03 13:09:51.238247,Product Launch,Instagram,25-34,Male,Bangalore,New,80714,4593,1553,342,44609,237023.31
2026-01-03 14:54:42.416483,Festival Campaign,Email,25-34,Male,Delhi,New,81102,5791,1714,308,38196,735273.42
2026-01-03 16:39:33.594718,Summer Sale,Instagram,45-54,Male,Hyderabad,Returning,43375,1678,481,114,9209,79526.74
2026-01-03 18:24:24.772954,Summer Sale,YouTube,35-44,Other,Ahmedabad,New,81210,6113,1313,355,32250,921149.12
2026-01-03 20:09:15.951190,New Year Offer,Instagram,18-24,Female,Nagpur,New,99276,3246,979,245,34635,528347.93
2026-01-03 21:54:07.129425,New Year Offer,YouTube,18-24,Male,Ahmedabad,New,98706,1985,379,50,43816,77073.2
2026-01-03 23:38:58.307661,Diwali Campaign,YouTube,55+,Other,Kolkata,Returning,83606,4972,1507,226,10282,602564.9
2026-01-04 01:23:49.485897,Winter Sale,YouTube,55+,Male,Ahmedabad,Returning,129837,3064,871,142,42961,137076.6
2026-01-04 03:08:40.664132,Monsoon Offer,Email,45-54,Female,Hyderabad,Returning,118343,11200,2947,367,18918,426237.68
2026-01-04 04:53:31.842368,Festival Campaign,Instagram,18-24,Other,Nagpur,New,71401,716,121,19,13446,16013.37
2026-01-04 06:38:23.020604,Festival Campaign,Instagram,45-54,Male,Nagpur,Returning,68835,5370,1344,177,19456,257344.15
2026-01-04 08:23:14.198839,Monsoon Offer,Email,35-44,Male,Chennai,New,66936,2352,509,152,32954,450958.61
2026-01-04 10:08:05.377075,Diwali Campaign,Google Ads,25-34,Male,Ahmedabad,New,137446,11840,2422,611,6457,551469.32
2026-01-04 11:52:56.555311,Clearance Sale,Facebook,18-24,Female,Mumbai,New,138344,2132,740,199,19296,512910.8
2026-01-04 13:37:47.733546,Clearance Sale,Instagram,35-44,Other,Chennai,New,26110,2500,540,152,39853,323714.43
2026-01-04 15:22:38.911782,Diwali Campaign,Facebook,18-24,Other,Chennai,Returning,71549,1368,121,27,46037,14567.45
2026-01-04 17:07:30.090018,Clearance Sale,Email,55+,Other,Hyderabad,Returning,140834,11394,2838,336,43356,961707.76
2026-01-04 18:52:21.268253,New Year Offer,Google Ads,45-54,Male,Bangalore,Returning,38530,2179,602,148,28602,433303.77
2026-01-04 20:37:12.446489,Festival Campaign,Google Ads,55+,Other,Mumbai,Returning,10893,530,169,14,49600,39371.52
2026-01-04 22:22:03.624724,Diwali Campaign,Google Ads,25-34,Male,Nagpur,New,138745,4885,1225,128,32192,224556.69
2026-01-05 00:06:54.802960,Festival Campaign,Email,55+,Female,Ahmedabad,New,133967,11484,979,84,18223,88278.79
2026-01-05 01:51:45.981196,Monsoon Offer,YouTube,18-24,Other,Chennai,New,104260,2916,327,35,23880,51735.66
2026-01-05 03:36:37.159431,Summer Sale,YouTube,55+,Male,Delhi,New,36885,2763,341,83,41551,168944.75
2026-01-05 05:21:28.337667,New Year Offer,Facebook,18-24,Other,Delhi,New,54560,2734,374,102,33663,147603.28
2026-01-05 07:06:19.515903,Product Launch,YouTube,25-34,Other,Chennai,Returning,23613,2358,697,98,13228,222502.05
2026-01-05 08:51:10.694138,New Year Offer,YouTube,55+,Female,Kolkata,Returning,147159,9569,1565,166,7749,413163.85
2026-01-05 10:36:01.872374,Diwali Campaign,Google Ads,45-54,Other,Ahmedabad,New,28665,555,91,12,8045,12281.79
2026-01-05 12:20:53.050610,Product Launch,Google Ads,45-54,Female,Hyderabad,New,116568,5566,1580,351,36615,530836.52
2026-01-05 14:05:44.228845,Summer Sale,Facebook,45-54,Other,Nagpur,Returning,39622,632,120,18,29071,52098.5
2026-01-05 15:50:35.407081,Diwali Campaign,Instagram,55+,Other,Chennai,Returning,105834,3779,368,107,37163,120323.32
2026-01-05 17:35:26.585317,Winter Sale,Facebook,55+,Other,Mumbai,New,51989,2126,505,54,25958,73770.41
2026-01-05 19:20:17.763552,Festival Campaign,Facebook,55+,Other,Chennai,Returning,54741,4750,546,162,19922,95442.5
2026-01-05 21:05:08.941788,Summer Sale,Email,18-24,Other,Jaipur,Returning,30163,2576,603,49,30995,65214.84
2026-01-05 22:50:00.120024,Festival Campaign,Email,25-34,Other,Nagpur,New,81637,901,261,46,33177,65657.11
2026-01-06 00:34:51.298259,Clearance Sale,Facebook,45-54,Female,Bangalore,New,69175,4005,1325,179,33426,134176.41
2026-01-06 02:19:42.476495,Winter Sale,Facebook,18-24,Female,Nagpur,Returning,43546,1311,128,26,17113,13093.75
